PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,TamanoFamilia,ViajaSolo,GrupoEdad,TarifaPorPersona,Puerto,Estado
1,0,3,Braund Mr. Owen Harris,Male,22,1,0,A/5 21171,7,Desconocido,S,2,False,Adulto joven,7,Southampton,Falleció
2,1,1,Cumings Mrs. John Bradley (Florence Briggs Thayer),Female,38,1,0,PC 17599,71,C85,C,2,False,Adulto,71,Cherburgo,Sobrevivió
3,1,3,Heikkinen Miss. Laina,Female,26,0,0,STON/O2. 3101282,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Sobrevivió
4,1,1,Futrelle Mrs. Jacques Heath (Lily May Peel),Female,35,1,0,113803,53,C123,S,2,False,Adulto,27,Southampton,Sobrevivió
5,0,3,Allen Mr. William Henry,Male,35,0,0,373450,8,Desconocido,S,1,True,Adulto,8,Southampton,Falleció
6,0,3,Moran Mr. James,Male,30,0,0,330877,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Falleció
7,0,1,McCarthy Mr. Timothy J,Male,54,0,0,17463,52,E46,S,1,True,Adulto,52,Southampton,Falleció
8,0,3,Palsson Master. Gosta Leonard,Male,2,3,1,349909,21,Desconocido,S,5,False,Niño,5,Southampton,Falleció
9,1,3,Johnson Mrs. Oscar W (Elisabeth Vilhelmina Berg),Female,27,0,2,347742,11,Desconocido,S,3,False,Adulto joven,4,Southampton,Sobrevivió
10,1,2,Nasser Mrs. Nicholas (Adele Achem),Female,14,1,0,237736,30,Desconocido,C,2,False,Adolescente,15,Cherburgo,Sobrevivió
11,1,3,Sandstrom Miss. Marguerite Rut,Female,4,1,1,P.P. 9549,17,G6,S,3,False,Niño,8,Southampton,Sobrevivió
11,1,3,sand strom Miss. Marguerite Ru t,Female,4,0,1,PP9 549,17,G6,S,2,False,Niño,17,Southampton,Sobrevivió
12,1,1,Bonnell Miss. Elizabeth,Female,58,0,0,113783,27,C103,S,1,True,Adulto,27,Southampton,Sobrevivió
13,0,3,Saundercock Mr. William Henry,Male,20,0,0,A/5 2151,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
14,0,3,Andersson Mr. Anders Johan,Male,39,1,5,347082,31,Desconocido,S,7,False,Adulto,4,Southampton,Falleció
15,0,3,Vestrom Miss. Hulda Amanda Adolfina,Female,14,0,0,350406,8,Desconocido,S,1,True,Adolescente,8,Southampton,Falleció
16,1,2,Hewlett Mrs. (Mary D Kingcome),Female,55,0,0,248706,16,Desconocido,S,1,True,Adulto,16,Southampton,Sobrevivió
17,0,3,Rice Master. Eugene,Male,2,4,1,382652,29,Desconocido,Q,6,False,Niño,7,Queenstown,Falleció
18,1,2,Williams Mr. Charles Eugene,Male,30,0,0,244373,13,Desconocido,S,1,True,Adulto joven,13,Southampton,Sobrevivió
19,0,3,Vander Planke Mrs. Julius (Emelia Maria Vandemoortele),Female,31,1,0,345763,18,Desconocido,S,2,False,Adulto joven,18,Southampton,Falleció
20,1,3,Masselmani Mrs. Fatima,Female,35,0,0,2649,7,Desconocido,C,1,True,Adulto,7,Cherburgo,Sobrevivió
21,0,2,Fynney Mr. Joseph J,Male,35,0,0,239865,26,Desconocido,S,1,True,Adulto,13,Southampton,Falleció
22,1,2,Beesley Mr. Lawrence,Male,34,0,0,248698,13,D56,S,1,True,Adulto joven,13,Southampton,Sobrevivió
23,1,3,McGowan Miss. Anna Annie,Female,15,0,0,330923,8,Desconocido,Q,1,True,Adolescente,8,Queenstown,Sobrevivió
24,1,1,Sloper Mr. William Thompson,Male,28,0,0,113788,36,A6,S,1,True,Adulto joven,36,Southampton,Sobrevivió
25,0,3,Palsson Miss. Torborg Danira,Female,8,3,1,349909,21,Desconocido,S,5,False,Niño,5,Southampton,Falleció
26,1,3,Asplund Mrs. Carl Oscar (Selma Augusta Emilia Johansson),Female,38,1,5,347077,31,Desconocido,S,7,False,Adulto,8,Southampton,Sobrevivió
27,0,3,Emir Mr. Farred Chehab,Male,30,0,0,2631,7,Desconocido,C,1,True,Adulto joven,7,Cherburgo,Falleció
28,0,1,Fortune Mr. Charles Alexander,Male,19,3,2,19950,263,C23 C25 C27,S,6,False,Adulto joven,66,Southampton,Falleció
29,1,3,O'Dwyer Miss. Ellen Nellie,Female,21,0,0,330959,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Sobrevivió
30,0,3,Todoroff Mr. Lalio,Male,30,0,0,349216,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
31,0,1,Uruchurtu Don. Manuel E,Male,40,0,0,PC 17601,277,Desconocido,C,1,True,Adulto,277,Cherburgo,Falleció
32,1,1,Spencer Mrs. William Augustus (Marie Eugenie),Female,35,1,0,PC 17569,147,B78,C,2,False,Adulto,73,Cherburgo,Sobrevivió
33,1,3,Glynn Miss. Mary Agatha,Female,21,0,0,335677,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Sobrevivió
34,0,2,Wheadon Mr. Edward H,Male,66,0,0,C.A. 24579,10,Desconocido,S,1,True,Mayor,5,Southampton,Falleció
35,0,1,Meyer Mr. Edgar Joseph,Male,28,1,0,PC 17604,82,Desconocido,C,2,False,Adulto joven,41,Cherburgo,Falleció
36,0,1,Holverson Mr. Alexander Oskar,Male,42,1,0,113789,52,Desconocido,S,2,False,Adulto,26,Southampton,Falleció
37,1,3,Mamee Mr. Hanna,Male,30,0,0,2677,7,Desconocido,C,1,True,Adulto joven,7,Cherburgo,Sobrevivió
38,0,3,Cann Mr. rne st Charles,Male,23,0,0,A/5 252,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
39,0,3,Vander Planke Miss. Augusta Maria,Female,18,2,0,345764,18,Desconocido,S,3,False,Adulto joven,9,Southampton,Falleció
40,1,3,Nicola-Yarred Miss. Jamila,Female,14,1,0,2651,11,Desconocido,C,2,False,Adolescente,6,Cherburgo,Sobrevivió
41,0,3,Ahlin Mrs. Johan (Johanna Persdotter Larsson),Female,40,1,0,7546,9,Desconocido,S,2,False,Adulto,9,Southampton,Falleció
42,0,2,Turpin Mrs. William John Robert (Dorothy Ann Wonnacott),Female,27,1,0,11668,21,Desconocido,S,2,False,Adulto joven,10,Southampton,Falleció
43,0,3,Kraeff Mr. Theodor,Male,30,0,0,349253,8,Desconocido,C,1,True,Adulto joven,8,Cherburgo,Falleció
44,1,2,Laroche Miss. Simonne Marie Anne Andree,Female,3,1,2,SC/PARIS 2123,42,Desconocido,C,4,False,Niño,14,Cherburgo,Sobrevivió
45,1,3,Devaney Miss. Margaret Delia,Female,19,0,0,330958,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Sobrevivió
46,0,3,Rogers Mr. William John,Male,30,0,0,SC/A4 23567,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
47,0,3,Lennon Mr. Denis,Male,30,1,0,370371,16,Desconocido,Q,2,False,Adulto joven,16,Queenstown,Falleció
48,1,3,O'Driscoll Miss. Bridget,Female,21,0,0,14311,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Sobrevivió
49,0,3,Samaan Mr. Youssef,Male,30,2,0,2662,22,Desconocido,C,3,False,Adulto joven,22,Cherburgo,Falleció
50,0,3,Arnold-Franchi Mrs. Josef (Josefine Franchi),Female,18,1,0,349237,18,Desconocido,S,2,False,Adulto joven,9,Southampton,Falleció
51,0,3,Panula Master. Juha Niilo,Male,7,4,1,3101295,40,Desconocido,S,6,False,Niño,7,Southampton,Falleció
52,0,3,Nosworthy Mr. Richard Cater,Male,21,0,0,A/4 39886,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
53,1,1,Harper Mrs. Henry Sleeper (Myna Haxtun),Female,49,1,0,PC 17572,77,D33,C,2,False,Adulto,26,Cherburgo,Sobrevivió
54,1,2,Faunthorpe Mrs. Lizzie (Elizabeth Anne Wilkinson),Female,29,1,0,2926,26,Desconocido,S,2,False,Adulto joven,26,Southampton,Sobrevivió
55,0,1,Ostby Mr. Engelhart Cornelius,Male,65,0,1,113509,62,B30,C,2,False,Mayor,62,Cherburgo,Falleció
56,1,1,Woolner Mr. Hugh,Male,30,0,0,19947,36,C52,S,1,True,Adulto joven,36,Southampton,Sobrevivió
57,1,2,Rugg Miss. Emily,Female,21,0,0,C.A. 31026,10,Desconocido,S,1,True,Adulto joven,10,Southampton,Sobrevivió
58,0,3,Novel Mr. Mansouer,Male,28,0,0,2697,7,Desconocido,C,1,True,Adulto joven,7,Cherburgo,Falleció
59,1,2,West Miss. Constance Mirium,Female,5,1,2,C.A. 34651,28,Desconocido,S,4,False,Niño,9,Southampton,Sobrevivió
60,0,3,Goodwni Master. William Frederick,Male,11,4,2,C.A. 2144,47,Desconocido,S,7,False,Niño,8,Southampton,Falleció
61,0,3,Sirayanian Mr. Orsen,Male,22,0,0,2669,7,Desconocido,C,1,True,Adulto joven,7,Cherburgo,Falleció
62,1,1,Icard Miss. Amelie,Female,38,0,0,113572,80,B28,C,1,True,Adulto,40,Cherburgo,Sobrevivió
